time1,Diode,time2,PCD3_B,time3,PCD1,time4,PCD2,time5,PCD3,time6,PCD1_B,time7,PCD2_B,,,,,,
-3.94E-06,0.004,-3.94E-06,-0.00399992,-7.70E-07,-0.00559992,-7.70E-07,-0.00239992,-7.70E-07,0.00960008,-7.70E-07,0.0119999,-7.70E-07,0.00799986,0.00432,,,,,
-3.94E-06,0,-3.94E-06,-0.00239992,-7.70E-07,0.00240008,-7.70E-07,-0.00879992,-7.70E-07,0.0112001,-7.70E-07,0.0199999,-7.70E-07,0.0139999,0.007760012,,,,,
-3.94E-06,0,-3.94E-06,-0.000799922,-7.69E-07,-0.00159992,-7.69E-07,-0.0111999,-7.69E-07,0.0136001,-7.69E-07,0.0159999,-7.69E-07,0.00599986,0.004560008,,,,,
-3.94E-06,0.004,-3.94E-06,-0.000799922,-7.69E-07,-0.00159992,-7.69E-07,-0.00879992,-7.69E-07,0.00480008,-7.69E-07,0.0219999,-7.69E-07,0.00799986,0.00488,,,,,
-3.94E-06,0.012,-3.94E-06,-0.00479992,-7.68E-07,-0.00479992,-7.68E-07,-0.00639992,-7.68E-07,0.00800008,-7.68E-07,0.00599986,-7.68E-07,0.00799986,0.002159992,,,,,
-3.94E-06,-0.012,-3.94E-06,-0.00719992,-7.68E-07,0.00400008,-7.68E-07,-0.00799992,-7.68E-07,0.00400008,-7.68E-07,0.0139999,-7.68E-07,0.00999986,0.0048,,,,,
-3.94E-06,-0.004,-3.94E-06,-0.00159992,-7.68E-07,0.00400008,-7.68E-07,-0.00719992,-7.68E-07,0.00640008,-7.68E-07,0.0179999,-7.68E-07,0.00999986,0.00624,,,,,
-3.94E-06,-0.004,-3.94E-06,-0.00479992,-7.67E-07,-0.00399992,-7.67E-07,-0.00959992,-7.67E-07,0.0112001,-7.67E-07,0.00399986,-7.67E-07,0.0119999,0.002720004,,,,,
-3.93E-06,0.008,-3.93E-06,0.00160008,-7.67E-07,-0.00399992,-7.67E-07,-0.00559992,-7.67E-07,0.00320008,-7.67E-07,0.00999986,-7.67E-07,0.0139999,0.00352,,,,,
-3.93E-06,0.008,-3.93E-06,-0.00319992,-7.66E-07,-0.00799992,-7.66E-07,-0.00799992,-7.66E-07,0.0152001,-7.66E-07,0.00999986,-7.66E-07,0.0139999,0.004640004,,,,,
-3.93E-06,0.004,-3.93E-06,-0.000799922,-7.66E-07,-0.00319992,-7.66E-07,0.00160008,-7.66E-07,0.0128001,-7.66E-07,0.00999986,-7.66E-07,0.0179999,0.007840004,,,,,
-3.93E-06,0.004,-3.93E-06,0.00560008,-7.66E-07,0.00560008,-7.66E-07,-0.00159992,-7.66E-07,0.0120001,-7.66E-07,0.00199986,-7.66E-07,-0.00800014,0.001999996,,,,,
-3.93E-06,-0.016,-3.93E-06,0.000800078,-7.65E-07,-0.00159992,-7.65E-07,-0.00479992,-7.65E-07,0.0176001,-7.65E-07,-0.00200014,-7.65E-07,0.00399986,0.002639996,,,,,
-3.93E-06,0.008,-3.93E-06,0.00160008,-7.65E-07,-0.00239992,-7.65E-07,-0.0103999,-7.65E-07,0.00960008,-7.65E-07,0.0119999,-7.65E-07,0.00599986,0.002960004,,,,,
-3.93E-06,0.008,-3.93E-06,7.80E-08,-7.64E-07,-0.00479992,-7.64E-07,-0.00879992,-7.64E-07,0.00640008,-7.64E-07,0.0159999,-7.64E-07,-0.00200014,0.00136,,,,,
-3.93E-06,0,-3.93E-06,7.80E-08,-7.64E-07,-0.00559992,-7.64E-07,-0.00239992,-7.64E-07,0.0112001,-7.64E-07,0.0119999,-7.64E-07,0.00399986,0.003840004,,,,,
-3.93E-06,0.004,-3.93E-06,0.00320008,-7.64E-07,0.00400008,-7.64E-07,-0.00959992,-7.64E-07,0.0112001,-7.64E-07,0.00399986,-7.64E-07,0.00799986,0.003519996,,,,,
