time1,Diode,time2,PCD3_B
-3.62e-06,0.0,-3.62e-06,5.000800078
-3.61e-06,0.004,-3.61e-06,5.000800078
-3.61e-06,0.024,-3.61e-06,5.000000078
-3.61e-06,-0.012,-3.61e-06,4.99520008
-3.61e-06,0.004,-3.61e-06,5.000000078
-3.61e-06,0.008,-3.61e-06,4.99840008
-3.61e-06,0.004,-3.61e-06,4.99440008
-3.61e-06,-0.012,-3.61e-06,4.99600008
-3.61e-06,-0.02,-3.61e-06,4.999200078
-3.61e-06,0.0,-3.61e-06,4.99760008
-3.61e-06,-0.004,-3.61e-06,4.99840008
-3.61e-06,-0.008,-3.61e-06,4.99520008
-3.61e-06,-0.016,-3.61e-06,4.99280008
-3.61e-06,0.0,-3.61e-06,4.99200008
-3.6e-06,-0.012,-3.6e-06,5.00320008
-3.6e-06,0.008,-3.6e-06,5.000000078
-3.6e-06,0.008,-3.6e-06,5.000000078
-3.6e-06,0.0,-3.6e-06,4.99120008
-3.6e-06,0.004,-3.6e-06,4.99600008
-3.6e-06,-0.008,-3.6e-06,5.000800078
-3.6e-06,-0.008,-3.6e-06,5.00320008
-3.6e-06,0.004,-3.6e-06,4.99760008
-3.6e-06,0.016,-3.6e-06,4.99760008
-3.6e-06,0.016,-3.6e-06,5.000800078
-3.6e-06,0.004,-3.6e-06,5.000000078
-3.6e-06,0.004,-3.6e-06,5.000800078
-3.59e-06,0.012,-3.59e-06,5.00720008
-3.59e-06,0.004,-3.59e-06,4.99760008
-3.59e-06,0.0,-3.59e-06,4.99520008
-3.59e-06,0.008,-3.59e-06,4.99600008
-3.59e-06,0.0,-3.59e-06,4.99760008
-3.59e-06,-0.012,-3.59e-06,5.00160008
-3.59e-06,-0.004,-3.59e-06,4.99440008
-3.59e-06,0.004,-3.59e-06,5.00400008
-3.59e-06,0.0,-3.59e-06,5.00560008
-3.59e-06,0.008,-3.59e-06,5.000800078
-3.59e-06,0.0,-3.59e-06,5.00160008
-3.59e-06,0.004,-3.59e-06,4.99600008
-3.59e-06,0.004,-3.59e-06,5.000000078
-3.58e-06,-0.008,-3.58e-06,5.000000078
-3.58e-06,0.008,-3.58e-06,4.99840008
-3.58e-06,0.004,-3.58e-06,4.99360008
-3.58e-06,0.0,-3.58e-06,4.999200078
-3.58e-06,0.0,-3.58e-06,5.00240008
-3.58e-06,-0.008,-3.58e-06,5.000800078
-3.58e-06,0.0,-3.58e-06,5.00160008
-3.58e-06,-0.016,-3.58e-06,4.99680008
-3.58e-06,0.008,-3.58e-06,5.00240008
